angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[505, 286, 244, 331]",0.0,0.02,0.01,0.93,0.02,0.01
0.02,"[509, 289, 247, 325]",0.0,0.01,0.0,0.93,0.03,0.0
0.04,"[511, 301, 242, 312]",0.0,0.0,0.01,0.9,0.05,0.0
0.01,"[507, 302, 244, 315]",0.0,0.01,0.01,0.87,0.11,0.0
0.01,"[504, 305, 243, 312]",0.0,0.0,0.01,0.86,0.11,0.0
0.06,"[507, 302, 244, 319]",0.0,0.02,0.02,0.83,0.07,0.0
0.01,"[507, 304, 246, 311]",0.0,0.01,0.01,0.78,0.18,0.0
0.02,"[510, 286, 249, 333]",0.0,0.01,0.03,0.91,0.01,0.02
0.01,"[510, 283, 253, 337]",0.0,0.01,0.0,0.96,0.01,0.0
0.01,"[508, 293, 247, 324]",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"[504, 305, 244, 312]",0.0,0.02,0.0,0.69,0.28,0.0
0.03,"[505, 303, 244, 318]",0.0,0.01,0.01,0.87,0.07,0.0
0.01,"[503, 301, 247, 323]",0.0,0.01,0.0,0.85,0.12,0.0
0.01,"[507, 300, 243, 316]",0.0,0.0,0.0,0.97,0.01,0.0
0.01,"[503, 293, 248, 326]",0.0,0.0,0.0,0.96,0.02,0.0
0.05,"[501, 294, 248, 328]",0.01,0.0,0.0,0.9,0.03,0.0
0.06,"[499, 284, 250, 331]",0.01,0.0,0.0,0.91,0.02,0.0
0.12,"[502, 285, 248, 330]",0.0,0.05,0.0,0.75,0.06,0.01
0.03,"[501, 297, 248, 320]",0.0,0.01,0.01,0.86,0.1,0.0
0.03,"[501, 294, 245, 320]",0.01,0.0,0.0,0.92,0.03,0.0
0.04,"[498, 293, 241, 320]",0.0,0.02,0.0,0.9,0.03,0.01
0.01,"[489, 292, 242, 321]",0.0,0.0,0.0,0.98,0.01,0.0
0.04,"[484, 284, 250, 334]",0.0,0.01,0.0,0.91,0.04,0.0
0.1,"[493, 289, 248, 328]",0.02,0.04,0.01,0.77,0.05,0.02
0.04,"[496, 293, 248, 322]",0.01,0.0,0.0,0.92,0.02,0.0
0.07,"[505, 288, 246, 327]",0.01,0.12,0.01,0.69,0.05,0.05
